Year,Season,City of Residence,Trip ID,Origin,Destination,International/Domestic,Number of Travelling Companions,Distance,Mode of Travel,Type of Location,Purpose,Duration (days),Events,Excitement (1-10)
2016,Fall,Bombay,43,Goa,Bangalore,D,11,,Flight,City,Family,,,
2016,Fall,Bombay,44,Bangalore,Madurai,D,11,,Train,Town,Family,,,
2016,Fall,Bombay,44,Madurai,sivakasi,D,11,,Train,Town,Family,,,
2016,Winter,Bombay,45,Bombay,Lonavala,D,40,,Bus,Mountains,Conference,,,
2016,Winter,Bombay,46,Bombay,Chennai,D,0,,Flight,City,Family,,,
2016,Winter,Calcutta,47,Calcutta,Mandarmoni,D,5,,Car,Beach,Sightseeing,,,
2016,Winter,Calcutta,48,Calcutta,Mumbai,D,1,,Flight,City,College,,,
2016,Winter,Calcutta,49,Calcutta,Delhi,D,2,,Flight,City,Sightseeing,,,
2016,Winter,Calcutta,49,Delhi,Dharamshala,D,2,,Bus,Town,Sightseeing,,,
2016,Winter,Calcutta,49,Dharamshala,Palampur,D,2,,Car,Village,Sightseeing,,,
2016,Winter,Calcutta,49,Palampur,McLeodganj,D,2,,Car,Town,Sightseeing,,,
2017,Winter,Calcutta,50,Calcutta,Chennai,D,0,,Flight,City,Family,,,
2017,Winter,Calcutta,50,Chennai,Sivakasi,D,0,,Train,Town,Family,,,
2017,Winter,Calcutta,50,Sivakasi,Srivilliputtur,D,0,,Car,Town,Family,,,
2017,Summer,Calcutta,51,Calcutta,Ahmedabad,D,2,,Flight,City,Interview,,,
2017,Summer,Calcutta,51,Ahmedabad,Gandhinagar,D,2,,Car,City,Sightseeing,,,
2017,Summer,Calcutta,51,Ahmedabad,Mumbai,D,2,,Flight,City,Family,,,
2017,Summer,Calcutta,51,Mumbai,Bangalore,D,2,,Flight,City,Interview,,,
2017,Summer,Calcutta,52,Calcutta,Zurich,I,0,,Flight,City,Sightseeing,,,
2017,Summer,Calcutta,52,Zurich,Paris,I,0,,Bus,City,Sightseeing,,,
2017,Summer,Calcutta,52,Zurich,Basel,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Zurich,Berne,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Zurich,Lausanne,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Zurich,Milan,I,0,,Bus,City,Sightseeing,,,
2017,Summer,Calcutta,52,Milan,Pisa,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Pisa,Venice,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Pisa,Florence,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Pisa,Trieste,I,0,,Train,City,Sightseeing,,,
2017,Summer,Calcutta,52,Milan,Muscat,I,0,,Flight,City,Sightseeing,,,
2017,Summer,Calcutta,53,Calcutta,Bangalore,D,3,,Flight,City,College,,,
2017,Winter,Bangalore,54,Bangalore,Sivakasi,D,0,,Train,Town,Family,,,
2017,Winter,Bangalore,54,Bangalore,Srivilliputtur,D,0,,Car,Town,Family,,,
